Sr. No.,Value date,Transaction Date,Cheque Number,Transacting Remarks,Withdrawal Amount,Deposit Amount,Balance
1877,2022-12-27,2022-12-27 03:31,,Utilities - Water,151.63,0.00,2124149.76
1878,2022-12-27,2022-12-27 11:27,,Dining - Casual Restaurant,314.28,0.00,2123835.48
1879,2022-12-28,2022-12-28 23:42,,Dining - Casual Restaurant,309.69,0.00,2123525.79
1880,2022-12-28,2022-12-28 16:00,,Fuel,138.48,0.00,2123387.31
1881,2022-12-28,2022-12-28 20:54,,Rental Income,0.00,6215.24,2129602.55
1882,2022-12-29,2022-12-29 02:45,,Dining - Casual Restaurant,299.40,0.00,2129303.15
1883,2022-12-29,2022-12-29 19:48,,Groceries - Supermarket,332.49,0.00,2128970.66
1884,2022-12-29,2022-12-29 03:26,,Coffee Shop,52.74,0.00,2128917.92
1885,2022-12-31,2022-12-31 04:52,,Dividends,0.00,1938.83,2130856.75
1886,2022-12-31,2022-12-31 04:15,,Salary - Regular,0.00,11259.59,2142116.34
1887,2023-01-01,2023-01-01 11:48,,Coffee Shop,11.01,0.00,2142105.33
1888,2023-01-01,2023-01-01 01:15,,Healthcare - Regular,270.97,0.00,2141834.36
1889,2023-01-01,2023-01-01 05:44,,Dining - Fine Dining,262.34,0.00,2141572.02
1890,2023-01-02,2023-01-02 11:08,,Investment Returns - Crypto,0.00,3263.81,2144835.83
1891,2023-01-03,2023-01-03 09:28,,Investment - Stocks,12870.15,0.00,2131965.68
1892,2023-01-04,2023-01-04 14:48,,Rental Income,0.00,2027.73,2133993.41
1893,2023-01-04,2023-01-04 11:55,,Salary - Bonus,0.00,17312.38,2151305.79
1894,2023-01-04,2023-01-04 02:36,,Groceries - Online Delivery,109.41,0.00,2151196.38
1895,2023-01-06,2023-01-06 17:33,,Dining - Casual Restaurant,184.21,0.00,2151012.17
1896,2023-01-06,2023-01-06 18:17,,Dining - Casual Restaurant,187.63,0.00,2150824.54
1897,2023-01-06,2023-01-06 18:01,,Salary - Bonus,0.00,10037.84,2160862.38
1898,2023-01-07,2023-01-07 13:22,,Investment Returns - Crypto,0.00,1807.48,2162669.86
1899,2023-01-08,2023-01-08 09:28,,Dining - Casual Restaurant,99.38,0.00,2162570.48
1900,2023-01-08,2023-01-08 08:14,,Fuel,60.97,0.00,2162509.51
1901,2023-01-08,2023-01-08 07:46,,Salary - Regular,0.00,6461.40,2168970.91
1902,2023-01-09,2023-01-09 21:54,,Groceries - Supermarket,171.76,0.00,2168799.15
1903,2023-01-10,2023-01-10 16:41,,Groceries - Online Delivery,170.11,0.00,2168629.04
1904,2023-01-11,2023-01-11 09:23,,Groceries - Supermarket,189.88,0.00,2168439.16
1905,2023-01-12,2023-01-12 06:48,,Salary - Bonus,0.00,6919.80,2175358.96
1906,2023-01-12,2023-01-12 12:28,,Groceries - Online Delivery,114.28,0.00,2175244.68
1907,2023-01-13,2023-01-13 18:30,,Dining - Fine Dining,333.94,0.00,2174910.74
1908,2023-01-13,2023-01-13 22:09,,Coffee Shop,13.50,0.00,2174897.24
1909,2023-01-13,2023-01-13 10:40,,Public Transport,8.21,0.00,2174889.03
1910,2023-01-13,2023-01-13 13:56,,Entertainment - Concerts,387.58,0.00,2174501.45
1911,2023-01-14,2023-01-14 23:22,,Freelance Income,0.00,2692.66,2177194.11
1912,2023-01-15,2023-01-15 10:56,,Investment Returns - Stocks,0.00,2169.75,2179363.86
1913,2023-01-15,2023-01-15 00:18,,Dining - Casual Restaurant,58.80,0.00,2179305.06
1914,2023-01-15,2023-01-15 02:22,,Groceries - Supermarket,297.52,0.00,2179007.54
1915,2023-01-15,2023-01-15 21:10,,Utilities - Water,176.91,0.00,2178830.63
1916,2023-01-16,2023-01-16 11:35,,Groceries - Online Delivery,212.08,0.00,2178618.55
1917,2023-01-16,2023-01-16 06:22,,Fuel,90.64,0.00,2178527.91
1918,2023-01-17,2023-01-17 09:32,,Rental Income,0.00,1572.92,2180100.83
1919,2023-01-17,2023-01-17 17:32,,Dining - Casual Restaurant,151.22,0.00,2179949.61
1920,2023-01-18,2023-01-18 14:39,,Groceries - Online Delivery,147.57,0.00,2179802.04
1921,2023-01-20,2023-01-20 11:58,,Loan EMI,995.14,0.00,2178806.90
1922,2023-01-21,2023-01-21 00:45,,Fuel,84.22,0.00,2178722.68
1923,2023-01-21,2023-01-21 01:43,,Salary - Regular,0.00,3950.82,2182673.50
1924,2023-01-21,2023-01-21 20:15,,Salary - Regular,0.00,7383.10,2190056.60
1925,2023-01-22,2023-01-22 20:05,,Investment Returns - Stocks,0.00,2135.24,2192191.84
1926,2023-01-23,2023-01-23 03:38,,Cashback,0.00,265.98,2192457.82
1927,2023-01-23,2023-01-23 16:46,,Salary - Regular,0.00,5959.04,2198416.86
1928,2023-01-23,2023-01-23 18:20,,Entertainment - Concerts,746.36,0.00,2197670.50
1929,2023-01-24,2023-01-24 22:00,,Utilities - Electricity,318.13,0.00,2197352.37
1930,2023-01-24,2023-01-24 02:15,,Freelance Income,0.00,4937.52,2202289.89
1931,2023-01-24,2023-01-24 03:47,,Public Transport,14.83,0.00,2202275.06
1932,2023-01-25,2023-01-25 13:58,,Dining - Casual Restaurant,103.96,0.00,2202171.10
1933,2023-01-26,2023-01-26 04:33,,Groceries - Online Delivery,111.49,0.00,2202059.61
1934,2023-01-26,2023-01-26 23:40,,Dining - Fine Dining,961.01,0.00,2201098.60
1935,2023-01-28,2023-01-28 06:03,,Investment Returns - Stocks,0.00,9782.18,2210880.78
1936,2023-01-28,2023-01-28 10:37,,Groceries - Online Delivery,229.07,0.00,2210651.71
1937,2023-01-28,2023-01-28 15:38,,Entertainment - Concerts,654.80,0.00,2209996.91
1938,2023-01-28,2023-01-28 09:24,,Investment Returns - Crypto,0.00,3375.89,2213372.80
1939,2023-01-29,2023-01-29 11:37,,Loan EMI,1710.94,0.00,2211661.86
1940,2023-01-29,2023-01-29 00:41,,Dining - Fine Dining,769.27,0.00,2210892.59
1941,2023-01-29,2023-01-29 13:14,,Salary - Bonus,0.00,20378.32,2231270.91
1942,2023-01-30,2023-01-30 16:33,,Dividends,0.00,701.34,2231972.25
1943,2023-01-30,2023-01-30 07:32,,Salary - Regular,0.00,3010.50,2234982.75
1944,2023-01-31,2023-01-31 00:24,,Dining - Casual Restaurant,71.83,0.00,2234910.92
1945,2023-01-31,2023-01-31 23:16,,Dining - Casual Restaurant,184.52,0.00,2234726.40
1946,2023-01-31,2023-01-31 12:20,,Dividends,0.00,316.53,2235042.93
1947,2023-02-01,2023-02-01 18:05,,Groceries - Online Delivery,184.50,0.00,2234858.43
1948,2023-02-01,2023-02-01 00:21,,Fuel,115.05,0.00,2234743.38
1949,2023-02-02,2023-02-02 18:59,,Dining - Casual Restaurant,109.69,0.00,2234633.69
1950,2023-02-04,2023-02-04 04:20,,Public Transport,26.93,0.00,2234606.76
1951,2023-02-04,2023-02-04 16:33,,Dividends,0.00,1040.49,2235647.25
1952,2023-02-04,2023-02-04 09:31,,Investment Returns - Stocks,0.00,276.61,2235923.86
1953,2023-02-05,2023-02-05 04:15,,Coffee Shop,19.88,0.00,2235903.98
1954,2023-02-06,2023-02-06 08:50,,Groceries - Supermarket,391.37,0.00,2235512.61
1955,2023-02-07,2023-02-07 07:32,,Dining - Casual Restaurant,244.46,0.00,2235268.15
1956,2023-02-07,2023-02-07 04:18,,Salary - Regular,0.00,7946.40,2243214.55
1957,2023-02-07,2023-02-07 11:15,,Dining - Casual Restaurant,54.71,0.00,2243159.84
1958,2023-02-08,2023-02-08 00:45,,Salary - Bonus,0.00,21993.03,2265152.87
1959,2023-02-08,2023-02-08 06:15,,Groceries - Supermarket,173.86,0.00,2264979.01
1960,2023-02-08,2023-02-08 20:18,,Groceries - Online Delivery,245.60,0.00,2264733.41
1961,2023-02-08,2023-02-08 20:16,,Healthcare - Regular,225.46,0.00,2264507.95
1962,2023-02-09,2023-02-09 17:02,,Investment Returns - Crypto,0.00,6364.62,2270872.57
1963,2023-02-10,2023-02-10 17:21,,Healthcare - Emergency,2562.36,0.00,2268310.21
1964,2023-02-10,2023-02-10 19:50,,Investment Returns - Crypto,0.00,5005.44,2273315.65
1965,2023-02-11,2023-02-11 16:32,,Freelance Income,0.00,1771.91,2275087.56
1966,2023-02-11,2023-02-11 22:02,,Coffee Shop,7.78,0.00,2275079.78
1967,2023-02-11,2023-02-11 10:31,,Groceries - Supermarket,369.19,0.00,2274710.59
1968,2023-02-12,2023-02-12 01:14,,Groceries - Online Delivery,157.80,0.00,2274552.79
1969,2023-02-13,2023-02-13 17:13,,Loan EMI,3866.90,0.00,2270685.89
1970,2023-02-14,2023-02-14 19:55,,Salary - Regular,0.00,6226.14,2276912.03
1971,2023-02-14,2023-02-14 12:47,,Salary - Regular,0.00,3674.40,2280586.43
1972,2023-02-15,2023-02-15 05:41,,Dining - Casual Restaurant,188.14,0.00,2280398.29
1973,2023-02-15,2023-02-15 04:48,,Fuel,56.74,0.00,2280341.55
1974,2023-02-15,2023-02-15 02:23,,Coffee Shop,18.54,0.00,2280323.01
1975,2023-02-15,2023-02-15 04:26,,Dividends,0.00,1231.92,2281554.93
1976,2023-02-16,2023-02-16 13:08,,Loan EMI,1950.03,0.00,2279604.90
1977,2023-02-17,2023-02-17 02:55,,Utilities - Electricity,195.14,0.00,2279409.76
1978,2023-02-17,2023-02-17 11:12,,Dining - Casual Restaurant,78.41,0.00,2279331.35
1979,2023-02-17,2023-02-17 19:13,,Groceries - Online Delivery,229.78,0.00,2279101.57
1980,2023-02-18,2023-02-18 00:54,,Rental Income,0.00,3273.35,2282374.92
1981,2023-02-18,2023-02-18 04:27,,Coffee Shop,11.66,0.00,2282363.26
1982,2023-02-18,2023-02-18 04:57,,Groceries - Online Delivery,416.69,0.00,2281946.57
1983,2023-02-18,2023-02-18 01:29,,Investment Returns - Stocks,0.00,894.14,2282840.71
1984,2023-02-19,2023-02-19 20:50,,Dining - Fine Dining,1387.07,0.00,2281453.64
1985,2023-02-20,2023-02-20 14:42,,Rental Income,0.00,3780.71,2285234.35
1986,2023-02-20,2023-02-20 14:26,,Groceries - Supermarket,235.62,0.00,2284998.73
1987,2023-02-22,2023-02-22 06:58,,Investment Returns - Crypto,0.00,2315.97,2287314.70
1988,2023-02-23,2023-02-23 15:43,,Salary - Regular,0.00,7234.89,2294549.59
1989,2023-02-23,2023-02-23 12:14,,Entertainment - Movies,58.17,0.00,2294491.42
1990,2023-02-24,2023-02-24 05:47,,Investment - Stocks,9500.16,0.00,2284991.26
1991,2023-02-25,2023-02-25 15:19,,Dividends,0.00,935.14,2285926.40
1992,2023-02-25,2023-02-25 10:19,,Cashback,0.00,399.88,2286326.28
1993,2023-02-25,2023-02-25 16:57,,Groceries - Supermarket,460.11,0.00,2285866.17
1994,2023-02-26,2023-02-26 02:11,,Salary - Regular,0.00,4404.57,2290270.74
1995,2023-02-28,2023-02-28 10:14,,Dining - Casual Restaurant,180.52,0.00,2290090.22
1996,2023-02-28,2023-02-28 04:06,,Investment - Crypto,2667.71,0.00,2287422.51
1997,2023-02-28,2023-02-28 11:55,,Investment Returns - Stocks,0.00,4224.07,2291646.58
1998,2023-03-01,2023-03-01 06:31,,Dividends,0.00,1637.97,2293284.55
1999,2023-03-01,2023-03-01 13:46,,Dining - Fine Dining,957.76,0.00,2292326.79
2000,2023-03-02,2023-03-02 00:22,,Rental Income,0.00,2320.24,2294647.03
2001,2023-03-02,2023-03-02 18:51,,Dining - Casual Restaurant,65.28,0.00,2294581.75
2002,2023-03-03,2023-03-03 11:57,,Healthcare - Regular,257.72,0.00,2294324.03
2003,2023-03-03,2023-03-03 15:27,,Loan EMI,3708.89,0.00,2290615.14
2004,2023-03-03,2023-03-03 07:00,,Dining - Fine Dining,754.21,0.00,2289860.93
2005,2023-03-03,2023-03-03 23:48,,Salary - Regular,0.00,8284.55,2298145.48
2006,2023-03-04,2023-03-04 08:48,,Freelance Income,0.00,2371.94,2300517.42
2007,2023-03-04,2023-03-04 03:18,,Groceries - Supermarket,255.38,0.00,2300262.04
2008,2023-03-04,2023-03-04 11:11,,Salary - Regular,0.00,3657.78,2303919.82
2009,2023-03-05,2023-03-05 01:00,,Fuel,110.21,0.00,2303809.61
2010,2023-03-06,2023-03-06 07:30,,Groceries - Supermarket,149.54,0.00,2303660.07
2011,2023-03-06,2023-03-06 02:51,,Fuel,48.40,0.00,2303611.67
2012,2023-03-08,2023-03-08 13:12,,Dining - Fine Dining,769.86,0.00,2302841.81
2013,2023-03-09,2023-03-09 23:55,,Healthcare - Regular,88.16,0.00,2302753.65
2014,2023-03-09,2023-03-09 03:05,,Fuel,102.36,0.00,2302651.29
2015,2023-03-10,2023-03-10 19:44,,Healthcare - Emergency,1970.20,0.00,2300681.09
2016,2023-03-11,2023-03-11 21:24,,Groceries - Supermarket,189.94,0.00,2300491.15
2017,2023-03-12,2023-03-12 06:51,,Dividends,0.00,1343.72,2301834.87
2018,2023-03-13,2023-03-13 23:13,,Loan EMI,2332.09,0.00,2299502.78
2019,2023-03-13,2023-03-13 11:28,,Freelance Income,0.00,2099.70,2301602.48
2020,2023-03-14,2023-03-14 03:23,,Groceries - Online Delivery,184.96,0.00,2301417.52
2021,2023-03-14,2023-03-14 15:02,,Entertainment - Movies,81.23,0.00,2301336.29
2022,2023-03-14,2023-03-14 20:05,,Dining - Casual Restaurant,166.85,0.00,2301169.44
2023,2023-03-14,2023-03-14 08:39,,Salary - Bonus,0.00,7205.88,2308375.32
2024,2023-03-15,2023-03-15 17:58,,Groceries - Supermarket,286.91,0.00,2308088.41
2025,2023-03-15,2023-03-15 21:30,,Dividends,0.00,1263.25,2309351.66
2026,2023-03-16,2023-03-16 17:57,,Public Transport,12.18,0.00,2309339.48
2027,2023-03-16,2023-03-16 22:57,,Groceries - Supermarket,261.34,0.00,2309078.14
2028,2023-03-17,2023-03-17 04:46,,Loan EMI,3421.08,0.00,2305657.06
2029,2023-03-17,2023-03-17 18:09,,Groceries - Supermarket,339.77,0.00,2305317.29
2030,2023-03-18,2023-03-18 22:26,,Utilities - Water,291.01,0.00,2305026.28
2031,2023-03-19,2023-03-19 13:44,,Utilities - Water,109.57,0.00,2304916.71
2032,2023-03-20,2023-03-20 04:51,,Public Transport,6.01,0.00,2304910.70
2033,2023-03-20,2023-03-20 07:44,,Groceries - Supermarket,79.32,0.00,2304831.38
2034,2023-03-21,2023-03-21 10:47,,Fuel,136.42,0.00,2304694.96
2035,2023-03-21,2023-03-21 03:35,,Groceries - Online Delivery,182.04,0.00,2304512.92
2036,2023-03-22,2023-03-22 13:30,,Groceries - Supermarket,338.68,0.00,2304174.24
2037,2023-03-23,2023-03-23 08:01,,Investment - Crypto,4506.38,0.00,2299667.86
2038,2023-03-24,2023-03-24 00:43,,Coffee Shop,22.92,0.00,2299644.94
2039,2023-03-25,2023-03-25 23:23,,Fuel,86.90,0.00,2299558.04
2040,2023-03-26,2023-03-26 12:27,,Entertainment - Movies,96.38,0.00,2299461.66
2041,2023-03-26,2023-03-26 05:20,,Salary - Regular,0.00,6222.06,2305683.72
2042,2023-03-26,2023-03-26 16:23,,Utilities - Electricity,448.00,0.00,2305235.72
2043,2023-03-26,2023-03-26 09:36,,Coffee Shop,22.51,0.00,2305213.21
2044,2023-03-27,2023-03-27 17:15,,Dividends,0.00,1130.43,2306343.64
2045,2023-03-27,2023-03-27 10:16,,Salary - Regular,0.00,6117.98,2312461.62
2046,2023-03-27,2023-03-27 17:49,,Dining - Casual Restaurant,206.02,0.00,2312255.60
2047,2023-03-28,2023-03-28 05:23,,Groceries - Supermarket,101.01,0.00,2312154.59
2048,2023-03-28,2023-03-28 18:10,,Salary - Regular,0.00,3659.66,2315814.25
2049,2023-03-30,2023-03-30 12:44,,Entertainment - Concerts,677.95,0.00,2315136.30
2050,2023-03-30,2023-03-30 05:06,,Groceries - Online Delivery,211.99,0.00,2314924.31
2051,2023-03-30,2023-03-30 10:24,,Dining - Casual Restaurant,154.21,0.00,2314770.10
2052,2023-03-30,2023-03-30 23:45,,Freelance Income,0.00,3298.58,2318068.68
2053,2023-03-31,2023-03-31 12:10,,Rental Income,0.00,3792.49,2321861.17
2054,2023-03-31,2023-03-31 18:10,,Groceries - Supermarket,178.72,0.00,2321682.45
2055,2023-03-31,2023-03-31 22:37,,Salary - Regular,0.00,5281.28,2326963.73
2056,2023-03-31,2023-03-31 17:05,,Loan EMI,3387.97,0.00,2323575.76
2057,2023-04-01,2023-04-01 02:27,,Rental Income,0.00,3900.09,2327475.85
2058,2023-04-01,2023-04-01 20:49,,Dining - Fine Dining,322.72,0.00,2327153.13
2059,2023-04-01,2023-04-01 01:41,,Investment Returns - Stocks,0.00,5321.56,2332474.69
2060,2023-04-02,2023-04-02 19:53,,Salary - Regular,0.00,3821.06,2336295.75
2061,2023-04-02,2023-04-02 19:20,,Investment - Stocks,12017.55,0.00,2324278.20
2062,2023-04-04,2023-04-04 23:06,,Coffee Shop,13.78,0.00,2324264.42
2063,2023-04-04,2023-04-04 05:15,,Dining - Casual Restaurant,92.18,0.00,2324172.24
2064,2023-04-04,2023-04-04 18:22,,Entertainment - Concerts,306.61,0.00,2323865.63
2065,2023-04-05,2023-04-05 20:01,,Salary - Bonus,0.00,13324.55,2337190.18
2066,2023-04-06,2023-04-06 08:29,,Dining - Fine Dining,1244.51,0.00,2335945.67
2067,2023-04-07,2023-04-07 20:13,,Investment Returns - Crypto,0.00,264.61,2336210.28
2068,2023-04-08,2023-04-08 21:39,,Fuel,135.74,0.00,2336074.54
2069,2023-04-09,2023-04-09 02:16,,Freelance Income,0.00,3401.95,2339476.49
2070,2023-04-09,2023-04-09 18:05,,Investment Returns - Stocks,0.00,9722.18,2349198.67
2071,2023-04-10,2023-04-10 17:47,,Public Transport,12.36,0.00,2349186.31
2072,2023-04-11,2023-04-11 15:59,,Utilities - Water,263.58,0.00,2348922.73
2073,2023-04-11,2023-04-11 10:41,,Investment Returns - Stocks,0.00,2456.47,2351379.20
2074,2023-04-12,2023-04-12 09:50,,Dining - Casual Restaurant,36.70,0.00,2351342.50
2075,2023-04-15,2023-04-15 11:48,,Groceries - Online Delivery,269.78,0.00,2351072.72
2076,2023-04-15,2023-04-15 20:35,,Rental Income,0.00,2008.10,2353080.82
2077,2023-04-16,2023-04-16 16:22,,Entertainment - Movies,36.95,0.00,2353043.87
2078,2023-04-17,2023-04-17 01:03,,Groceries - Supermarket,174.76,0.00,2352869.11
2079,2023-04-17,2023-04-17 17:55,,Dividends,0.00,749.05,2353618.16
2080,2023-04-18,2023-04-18 17:36,,Loan EMI,1912.68,0.00,2351705.48
2081,2023-04-19,2023-04-19 15:49,,Entertainment - Concerts,487.25,0.00,2351218.23
2082,2023-04-20,2023-04-20 04:25,,Groceries - Supermarket,170.05,0.00,2351048.18
2083,2023-04-21,2023-04-21 06:18,,Coffee Shop,14.56,0.00,2351033.62
2084,2023-04-22,2023-04-22 05:20,,Utilities - Electricity,573.64,0.00,2350459.98
2085,2023-04-22,2023-04-22 20:05,,Loan EMI,5096.47,0.00,2345363.51
2086,2023-04-24,2023-04-24 22:59,,Salary - Regular,0.00,7857.48,2353220.99
2087,2023-04-25,2023-04-25 21:43,,Loan EMI,1216.53,0.00,2352004.46
2088,2023-04-26,2023-04-26 22:07,,Entertainment - Concerts,851.96,0.00,2351152.50
2089,2023-04-27,2023-04-27 04:52,,Public Transport,9.31,0.00,2351143.19
2090,2023-04-27,2023-04-27 18:57,,Public Transport,7.19,0.00,2351136.00
2091,2023-04-28,2023-04-28 00:27,,Fuel,89.44,0.00,2351046.56
2092,2023-04-29,2023-04-29 10:34,,Investment - Crypto,11905.46,0.00,2339141.10
2093,2023-04-29,2023-04-29 17:43,,Salary - Bonus,0.00,16080.99,2355222.09
2094,2023-04-30,2023-04-30 22:24,,Investment Returns - Stocks,0.00,10892.22,2366114.31
2095,2023-04-30,2023-04-30 07:17,,Fuel,121.02,0.00,2365993.29
2096,2023-05-02,2023-05-02 04:34,,Coffee Shop,29.82,0.00,2365963.47
2097,2023-05-04,2023-05-04 23:30,,Fuel,72.69,0.00,2365890.78
2098,2023-05-04,2023-05-04 01:12,,Freelance Income,0.00,4258.18,2370148.96
2099,2023-05-05,2023-05-05 14:43,,Dining - Casual Restaurant,73.40,0.00,2370075.56
2100,2023-05-05,2023-05-05 20:56,,Freelance Income,0.00,1040.07,2371115.63
2101,2023-05-06,2023-05-06 13:45,,Groceries - Online Delivery,307.16,0.00,2370808.47
2102,2023-05-06,2023-05-06 19:06,,Dining - Casual Restaurant,140.16,0.00,2370668.31
2103,2023-05-06,2023-05-06 15:13,,Dining - Casual Restaurant,220.00,0.00,2370448.31
2104,2023-05-08,2023-05-08 03:55,,Investment Returns - Crypto,0.00,1382.41,2371830.72
2105,2023-05-09,2023-05-09 22:05,,Groceries - Online Delivery,210.42,0.00,2371620.30
2106,2023-05-09,2023-05-09 11:19,,Rental Income,0.00,3539.65,2375159.95
2107,2023-05-09,2023-05-09 09:57,,Fuel,57.83,0.00,2375102.12
2108,2023-05-10,2023-05-10 19:34,,Coffee Shop,33.36,0.00,2375068.76
2109,2023-05-12,2023-05-12 12:09,,Loan EMI,2512.55,0.00,2372556.21
2110,2023-05-13,2023-05-13 15:44,,Cashback,0.00,75.57,2372631.78
2111,2023-05-14,2023-05-14 17:33,,Freelance Income,0.00,2585.32,2375217.10
2112,2023-05-15,2023-05-15 15:21,,Coffee Shop,13.05,0.00,2375204.05
2113,2023-05-17,2023-05-17 06:55,,Fuel,50.74,0.00,2375153.31
2114,2023-05-17,2023-05-17 20:58,,Groceries - Online Delivery,100.20,0.00,2375053.11
2115,2023-05-18,2023-05-18 11:24,,Salary - Regular,0.00,6374.65,2381427.76
2116,2023-05-18,2023-05-18 05:27,,Groceries - Online Delivery,186.04,0.00,2381241.72
2117,2023-05-18,2023-05-18 18:36,,Dividends,0.00,1009.03,2382250.75
2118,2023-05-18,2023-05-18 23:54,,Salary - Regular,0.00,3480.33,2385731.08
2119,2023-05-19,2023-05-19 08:46,,Healthcare - Regular,226.03,0.00,2385505.05
2120,2023-05-20,2023-05-20 12:25,,Salary - Regular,0.00,5015.69,2390520.74
2121,2023-05-21,2023-05-21 10:47,,Entertainment - Movies,153.05,0.00,2390367.69
2122,2023-05-21,2023-05-21 03:39,,Dining - Fine Dining,1215.70,0.00,2389151.99
2123,2023-05-22,2023-05-22 16:45,,Rental Income,0.00,3825.62,2392977.61
2124,2023-05-23,2023-05-23 08:18,,Dining - Casual Restaurant,117.62,0.00,2392859.99
2125,2023-05-23,2023-05-23 22:29,,Salary - Regular,0.00,5917.01,2398777.00
2126,2023-05-24,2023-05-24 23:07,,Dining - Casual Restaurant,91.40,0.00,2398685.60
2127,2023-05-25,2023-05-25 07:04,,Public Transport,11.22,0.00,2398674.38
2128,2023-05-25,2023-05-25 12:38,,Dining - Fine Dining,1084.06,0.00,2397590.32
2129,2023-05-25,2023-05-25 08:47,,Healthcare - Regular,230.11,0.00,2397360.21
2130,2023-05-26,2023-05-26 09:46,,Utilities - Water,135.64,0.00,2397224.57
2131,2023-05-27,2023-05-27 09:30,,Investment Returns - Stocks,0.00,5964.12,2403188.69
2132,2023-05-27,2023-05-27 17:47,,Groceries - Supermarket,622.24,0.00,2402566.45
2133,2023-05-27,2023-05-27 13:20,,Entertainment - Movies,75.29,0.00,2402491.16
2134,2023-05-28,2023-05-28 16:47,,Investment Returns - Crypto,0.00,2059.99,2404551.15
2135,2023-05-28,2023-05-28 12:32,,Dividends,0.00,1140.69,2405691.84
2136,2023-05-29,2023-05-29 17:41,,Rental Income,0.00,3514.17,2409206.01
2137,2023-05-30,2023-05-30 13:14,,Entertainment - Movies,65.30,0.00,2409140.71
2138,2023-05-30,2023-05-30 17:57,,Salary - Regular,0.00,3001.61,2412142.32
2139,2023-05-31,2023-05-31 11:51,,Groceries - Supermarket,223.44,0.00,2411918.88
2140,2023-06-01,2023-06-01 16:36,,Public Transport,2.56,0.00,2411916.32
2141,2023-06-01,2023-06-01 19:29,,Investment Returns - Crypto,0.00,413.40,2412329.72
2142,2023-06-01,2023-06-01 19:08,,Salary - Regular,0.00,2391.65,2414721.37
2143,2023-06-02,2023-06-02 23:45,,Entertainment - Movies,95.57,0.00,2414625.80
2144,2023-06-03,2023-06-03 07:18,,Utilities - Water,95.32,0.00,2414530.48
2145,2023-06-04,2023-06-04 22:17,,Fuel,65.42,0.00,2414465.06
2146,2023-06-04,2023-06-04 15:52,,Dining - Fine Dining,1272.75,0.00,2413192.31
2147,2023-06-04,2023-06-04 04:57,,Public Transport,7.37,0.00,2413184.94
2148,2023-06-05,2023-06-05 08:18,,Groceries - Online Delivery,87.68,0.00,2413097.26
2149,2023-06-05,2023-06-05 07:03,,Utilities - Water,71.21,0.00,2413026.05
2150,2023-06-05,2023-06-05 17:16,,Salary - Regular,0.00,3758.24,2416784.29
2151,2023-06-06,2023-06-06 10:27,,Groceries - Supermarket,172.45,0.00,2416611.84
2152,2023-06-06,2023-06-06 17:39,,Freelance Income,0.00,1122.06,2417733.90
2153,2023-06-07,2023-06-07 22:58,,Groceries - Online Delivery,107.35,0.00,2417626.55
2154,2023-06-08,2023-06-08 01:14,,Groceries - Online Delivery,113.37,0.00,2417513.18
2155,2023-06-09,2023-06-09 10:22,,Groceries - Online Delivery,211.58,0.00,2417301.60
2156,2023-06-09,2023-06-09 00:40,,Fuel,32.77,0.00,2417268.83
2157,2023-06-10,2023-06-10 20:33,,Dining - Casual Restaurant,73.10,0.00,2417195.73
2158,2023-06-11,2023-06-11 02:00,,Healthcare - Emergency,3295.54,0.00,2413900.19
2159,2023-06-12,2023-06-12 05:45,,Dining - Casual Restaurant,153.55,0.00,2413746.64
2160,2023-06-12,2023-06-12 03:14,,Freelance Income,0.00,952.24,2414698.88
2161,2023-06-13,2023-06-13 17:46,,Freelance Income,0.00,4669.55,2419368.43
2162,2023-06-16,2023-06-16 03:32,,Coffee Shop,15.06,0.00,2419353.37
2163,2023-06-16,2023-06-16 19:47,,Dining - Fine Dining,767.94,0.00,2418585.43
2164,2023-06-16,2023-06-16 06:55,,Dining - Casual Restaurant,101.36,0.00,2418484.07
2165,2023-06-17,2023-06-17 03:33,,Dining - Casual Restaurant,119.61,0.00,2418364.46
2166,2023-06-17,2023-06-17 15:02,,Dividends,0.00,1191.25,2419555.71
2167,2023-06-19,2023-06-19 12:08,,Investment - Crypto,740.89,0.00,2418814.82
2168,2023-06-19,2023-06-19 14:23,,Groceries - Supermarket,149.08,0.00,2418665.74
2169,2023-06-20,2023-06-20 08:22,,Salary - Regular,0.00,4460.02,2423125.76
2170,2023-06-21,2023-06-21 23:36,,Rental Income,0.00,1281.19,2424406.95
2171,2023-06-21,2023-06-21 08:39,,Salary - Regular,0.00,3370.86,2427777.81
2172,2023-06-22,2023-06-22 11:15,,Fuel,48.36,0.00,2427729.45
2173,2023-06-22,2023-06-22 10:27,,Salary - Regular,0.00,3125.29,2430854.74
2174,2023-06-23,2023-06-23 06:46,,Groceries - Online Delivery,133.97,0.00,2430720.77
2175,2023-06-23,2023-06-23 23:39,,Utilities - Electricity,235.84,0.00,2430484.93
2176,2023-06-25,2023-06-25 22:00,,Public Transport,3.56,0.00,2430481.37
2177,2023-06-26,2023-06-26 22:30,,Entertainment - Movies,29.50,0.00,2430451.87
2178,2023-06-27,2023-06-27 14:43,,Dividends,0.00,405.72,2430857.59
2179,2023-06-29,2023-06-29 08:27,,Groceries - Supermarket,72.85,0.00,2430784.74
2180,2023-06-29,2023-06-29 14:10,,Investment Returns - Stocks,0.00,1676.78,2432461.52
2181,2023-06-30,2023-06-30 16:53,,Groceries - Supermarket,138.78,0.00,2432322.74
